ID,School,External ref,Prompt title,Review status,Proposed primary,Proposed secondaries,Proposed function,Final primary,Final secondaries,Final function,Why,Word limit,Requirement,Shared with,Full written prompt
370,University of Pennsylvania,lsm-integration,LSM: Life sciences and management,reviewed,Why Major,Why Us; Intellectual Curiosity,connect-to-school,Why Major,Why Us; Intellectual Curiosity,connect-to-school,carried over from the hand review,50-400w,conditional,,"The Vagelos Life Sciences & Management (LSM) program brings together two powerful modes of understanding—scientific inquiry and strategic thinking—to prepare students to engage thoughtfully and creatively with some of the most complex challenges of our time. What questions, problems, or opportunities would you hope to explore through LSM, and how might the integration of life sciences and management shape your approach to them? Focus on the ideas, values, or questions that draw you to this intersection, rather than how LSM might advance your career, and make sure this essay is distinct from your single-degree application."
371,University of Pennsylvania,mt-created-built,M&T: Something you built,reviewed,Other,Activities & Impact; Creativity,describe,Other,Activities & Impact; Creativity,describe,carried over from the hand review,50-200w,conditional,,"Describe something you created, designed, improved, or built. What motivated you, and what did you learn from the process?"
372,University of Pennsylvania,mt-engineering-business,M&T: Engineering and business perspectives,reviewed,Why Us,Why Major; Goals & Future,connect-to-school,Why Us,Why Major; Goals & Future,connect-to-school,carried over from the hand review,50-400w,conditional,,Explain how you will use the M&T program to pursue problems or opportunities that require both engineering and business perspectives.
373,University of Pennsylvania,nhcm-interest,NHCM: Nursing and Healthcare Management,reviewed,Why Major,Why Us; Goals & Future,connect-to-school,Why Major,Why Us; Goals & Future,connect-to-school,carried over from the hand review,50-400w,conditional,,"Describe your interest in nursing and health care management, and how Penn's coordinated dual-degree program in nursing and business would help you meet your goals. Please ensure that this essay is distinct from your single-degree application, if applicable."
374,University of Pennsylvania,school-arts-sciences,School-specific: College of Arts and Sciences,reviewed,Why Major,Why Us; Intellectual Curiosity,connect-to-school,Why Major,Why Us; Intellectual Curiosity,connect-to-school,carried over from the hand review,50-200w,conditional,,The College of Arts and Sciences is designed to foster discovery and connection. Describe something you are curious about—something you'd like to learn more about or find a new approach to—and how you might pursue that curiosity in the College.
375,University of Pennsylvania,school-engineering,School-specific: Engineering,reviewed,Why Major,Why Us,connect-to-school,Why Major,Why Us,connect-to-school,carried over from the hand review,50-200w,conditional,,"Penn Engineering prepares its students to become leaders in technology by combining a strong foundation in the natural sciences and mathematics with depth of study in focused disciplinary majors. Describe how you plan to pursue your engineering interests at Penn, particularly within the intended major you selected."
376,University of Pennsylvania,school-nursing,School-specific: Nursing,reviewed,Why Major,Why Us; Contribution; Goals & Future,connect-to-school,Why Major,Why Us; Contribution; Goals & Future,connect-to-school,carried over from the hand review,50-200w,conditional,,"Penn Nursing intends to meet the health needs of society in a global and multicultural world by preparing its students to impact healthcare by advancing science. Why are you applying to Nursing, where do you see yourself professionally in the future, and how will you contribute to our mission of promoting equity in healthcare?"
377,University of Pennsylvania,school-wharton,School-specific: Wharton,reviewed,Why Major,Why Us; Intellectual Curiosity,connect-to-school,Why Major,Why Us; Intellectual Curiosity,connect-to-school,carried over from the hand review,50-200w,conditional,,"Wharton prepares its students to make an impact by applying business methods and economic theory to real-world problems, including economic, political, and social issues. Discuss a current issue of importance to you and how you hope a Wharton education would help you explore it."
378,University of Pennsylvania,vic-alignment,VIC: Visual and Interactive Computing,reviewed,Why Major,Why Us,connect-to-school,Why Major,Why Us,connect-to-school,carried over from the hand review,400-650w,conditional,,Discuss how your interests align with the Visual and Interactive Computing (VIC) program at the University of Pennsylvania
379,University of Pennsylvania,viper-energy-interest,VIPER: Energy science and technology,reviewed,Why Major,Why Us; Goals & Future,connect-to-school,Why Major,Why Us; Goals & Future,connect-to-school,carried over from the hand review,50-400w,conditional,,"Describe your interest in the VIPER program, including how any past experiences (academic, research, extracurricular, etc.) have shaped your interest in energy science and technology, and how you envision participation in VIPER fitting into your future goals."
380,University of Pennsylvania,viper-major-combination,VIPER: Major combination,reviewed,Why Major,Why Us,explain-motivation,Why Major,Why Us,explain-motivation,carried over from the hand review,50-200w,conditional,,VIPER students pursue dual degrees in science or math and engineering. Which major combination(s) interest you most right now and why? Your response to this prompt is not binding; students often shift majors as they learn more through the program. See available VIPER majors on our website.
381,University of Pittsburgh,frederick-honors-college-applicants-pitt-honors,Frederick Honors College Applicants: Pitt Honors students are,reviewed,Community,Why Us; Values; Contribution,discuss-future-contribution,Community,Values; Why Us; Contribution,discuss-future-contribution,"A topic or experience that shaped how you engage with others, and how you would continue it here.",650w,conditional,,"Frederick Honors College Applicants: Pitt Honors students are encouraged to engage deeply with their communities and the world. Describe a topic, issue, or experience that has shaped how you engage with others. How will you continue this exploration as a member of the Frederick Honors College?"
382,University of Pittsburgh,share-information-not-included-elsewhere-in-your,Share information not included elsewhere in your University of,reviewed,Personal Statement,,describe,Personal Statement,,describe,The additional-information box: anything not included elsewhere.,650w,conditional,,Share information not included elsewhere in your University of Pittsburgh admissions application.
383,University of Richmond,ideas-into-actions,Turn ideas into actions,reviewed,Activities & Impact,Challenge & Growth; Contribution,demonstrate-growth,Activities & Impact,Challenge & Growth; Contribution,demonstrate-growth,carried over from the hand review,350-650w,optional,,"Richmond students turn ideas into actions. Tell us about a time you learned by doing, making, building, testing, helping, or leading and what that experience taught you about yourself, the world, or the kind of impact you want to have."
384,University of Richmond,relentlessly-welcoming,Make a space more welcoming,reviewed,Other,Activities & Impact; Contribution,explain-impact,Other,Activities & Impact; Contribution,explain-impact,carried over from the hand review,350-650w,optional,,"Richmond is a community that strives to be relentlessly welcoming. Tell us about a time you made a space better for other people by helping them feel welcome, heard, included, or supported."
385,University of Richmond,unique-spider,Your unique mark on a Spider community,reviewed,Background & Identity,Contribution,reflect,Background & Identity,Contribution,reflect,carried over from the hand review,350-650w,optional,,"Richmond’s mascot is the Spider. Just as you are unique, this singular mascot represents over 52,680 unique species of spiders. Tell us about the communities, experiences, or ambitions that have shaped you into the unique person you are and how you will make your mark as part of a Spider community."
386,University of Rochester,curiosity-creativity,"Combine curiosity, creativity, and Rochester opportunities",reviewed,Why Us,Why Major; Intellectual Curiosity,connect-to-school,Why Us,Why Major; Intellectual Curiosity,connect-to-school,carried over from the hand review,250w,required,,The University of Rochester is a place where curiosity and creativity meet. How will you combine our academic flexibility and co-curricular opportunities to create an experience that reflects your interests and ambitions?
387,University of Rochester,what-field-area-of-study-are-you-interested-in,What field/area of study are you interested in researching,reviewed,Short Answer,Why Major; Intellectual Curiosity,describe,Short Answer,Why Major; Intellectual Curiosity,describe,Twenty words naming the field you want to research.,20w,optional,,What field/area of study are you interested in researching?
388,University of Rochester,what-relevant-experiences-or-insight-have-led-to-your,What relevant experiences or insight have led to your interest in this,reviewed,Why Us,Why Major; Goals & Future; Contribution,connect-to-school,Why Us,Why Major; Goals & Future; Contribution,connect-to-school,"What led you to this programme, which named resources meet your ambitions, and what you would contribute.",250w,conditional,,"What relevant experiences or insight have led to your interest in this particular program? Describe how Rochester’s resources: facilities, faculty, peers and research will meet your academic and personal ambitions. Describe how you see yourself contributing to the challenging field you want to enter as a Rochester graduate."
389,University of Southern California,best-movie-of-all-time,Best movie of all time,reviewed,Short Answer,,describe,Short Answer,,describe,A one-line favourite.,none,required,,Best movie of all time
390,University of Southern California,describe-how-you-plan-to-pursue-your-academic-interests,Describe how you plan to pursue your academic interests and why you,reviewed,Why Major,Why Us,connect-to-school,Why Major,Why Us,connect-to-school,How you plan to pursue your academic interests and why at USC specifically.,250w,required,,Describe how you plan to pursue your academic interests and why you want to explore them at USC specifically. Please feel free to address your first- and second-choice major selections.
391,University of Southern California,describe-yourself-in-three-words,Describe yourself in three words,reviewed,Short Answer,,describe,Short Answer,,describe,"Three words, 25 characters each.",(note) Limit: 25 characters per word. 25 characters allowed for each of the three words.,required,,Describe yourself in three words.
392,University of Southern California,dream-job,Dream job,reviewed,Short Answer,Goals & Future,describe,Short Answer,Goals & Future,describe,A one-line dream job.,none,required,,Dream job
393,University of Southern California,dream-trip,Dream trip,reviewed,Short Answer,,describe,Short Answer,,describe,A one-line dream trip.,none,required,,Dream trip
394,University of Southern California,favorite-book,Favorite book,reviewed,Short Answer,Intellectual Curiosity,describe,Short Answer,Intellectual Curiosity,describe,"A single favourite book - a favourite, not a list of works.",none,required,,Favorite book
395,University of Southern California,if-you-could-teach-a-class-on-any-topic-what-would-it-be,"If you could teach a class on any topic, what would it be",reviewed,Short Answer,Intellectual Curiosity; Course,describe,Short Answer,Intellectual Curiosity; Course,describe,"AUDIT: same question as Brown's #29 but kept as Short Answer, because it is one line in a rapid-fire set alongside favourite snack and dream job. The difference is format, which the adaptation axis handles, not category.",none,required,,"If you could teach a class on any topic, what would it be?"
396,University of Southern California,if-your-life-had-a-theme-song-what-would-it-be,"If your life had a theme song, what would it be",reviewed,Short Answer,,describe,Short Answer,,describe,A one-line theme song.,none,required,,"If your life had a theme song, what would it be?"
397,University of Southern California,starting-with-the-beginning-of-high-school-secondary,"Starting with the beginning of high school/secondary school, if you",reviewed,Other,Academic Context,describe,Other,Academic Context,describe,Explain a gap in your enrolment history - an administrative disclosure.,250w,optional,,"Starting with the beginning of high school/secondary school, if you have had a gap where you were not enrolled in school during a fall or spring term, please address this gap in your educational history. You do not need to address a summer break."
398,University of Southern California,the-usc-student-commitment-charges-trojans-to-value,"The USC Student Commitment charges Trojans to “value honest, open",reviewed,Background & Identity,Disagreement,demonstrate-growth,Background & Identity,Disagreement,demonstrate-growth,"A time you disagreed with someone about something important, and whether you changed your mind.",250w,optional,,"The USC Student Commitment charges Trojans to “value honest, open communication and robust debate,” and to “champion ideological diversity and embrace freedom of expression.” Describe a time when you disagreed with someone you know about something important to you. Did you change your mind or reach common ground?"
399,University of Southern California,what-is-your-favorite-snack,What is your favorite snack,reviewed,Short Answer,,describe,Short Answer,,describe,A one-line favourite snack.,none,required,,What is your favorite snack?
400,University of Southern California,what-tv-show-will-you-binge-watch-next,What TV show will you binge watch next,reviewed,Short Answer,,describe,Short Answer,,describe,A one-line answer about what you will watch next.,none,required,,What TV show will you binge watch next?
401,University of Southern California,which-well-known-person-or-fictional-character-would-be,Which well-known person or fictional character would be your ideal,reviewed,Short Answer,,describe,Short Answer,,describe,"A one-line hypothetical ideal roommate. A fun short answer, not a note to an actual roommate.",none,required,,Which well-known person or fictional character would be your ideal roommate?
402,University of Texas at Austin,communication-is-a-fundamental-part-of-human-life,"Communication is a fundamental part of human life, influencing every",reviewed,Other,Academic Context; Intellectual Curiosity,describe,Other,Academic Context; Intellectual Curiosity,describe,Argue one of two positions about communication from a disciplinary example.,250w,conditional,,"Communication is a fundamental part of human life, influencing every aspect of the world around us. Future communicators like yourself must wrestle with the question of whether communication is motivated by self-interest or cooperation. Discuss an example from a communication discipline (advertising, communication studies, communication and leadership, journalism, public relations, radio-tv-film or speech language hearing sciences), that supports one of the two perspectives."
403,University of Texas at Austin,describe-your-significant-activities-employment-and,"Describe your significant activities, employment and achievements",reviewed,Activities & Impact,Why Major; Goals & Future,describe,Activities & Impact,Why Major; Goals & Future,describe,"Significant activities and achievements relevant to one major, plus educational and career goals.",500w,conditional,,"Describe your significant activities, employment and achievements, particularly those relevant to the study of Electrical and Computer Engineering. Also describe your educational and career goals."
404,University of Texas at Austin,describe-your-significant-activities-employment-and-19,"Describe your significant activities, employment and achievements",reviewed,Activities & Impact,Why Major; Goals & Future,describe,Activities & Impact,Why Major; Goals & Future,describe,"The same, for computer science.",500w,conditional,,"Describe your significant activities, employment and achievements, particularly those relevant to the study of computer science. Also describe your educational and career goals."
405,University of Texas at Austin,each-of-the-three-cns-honors-programs-has-a-distinct,Each of the three CNS Honors Programs has a distinct profile,reviewed,Why Us,Community; Contribution,discuss-future-contribution,Why Us,Contribution; Community,discuss-future-contribution,"Why you fit one of three named honours programmes, and how you would contribute to it.",(note) The source states no word or character limit.,conditional,,"Each of the three CNS Honors Programs has a distinct profile. Why are you a good fit for the Dean’s Scholars, Health Science Scholars or Polymathic Scholars program? How will you contribute to that community?"
406,University of Texas at Austin,help-us-get-to-know-you-better,Help us get to know you better,reviewed,Short Answer,Creativity,describe,Short Answer,Creativity,describe,Five numbered sentences of insight into you - the short-form list format.,(note) Limit: 5 sentences.,conditional,1: University of Texas at Austin,"Help us get to know you better. Please write five sentences (numbered 1-5) that give us some insight into you, your life, your interests and your experiences. There are no right answers — feel free to be creative and think outside the box."
407,University of Texas at Austin,in-the-human-development-and-family-sciences-department,"In the Human Development and Family Sciences department, we examine",reviewed,Why Us,Why Major; Community,explain-motivation,Why Us,Why Major; Community,explain-motivation,"Why this named honours programme, and what makes you a good fit.",500w,conditional,,"In the Human Development and Family Sciences department, we examine individual and family development from infancy to old age, with a focus on how social, community, cultural, and policy contexts may shape development. Why have you chosen to apply to the HDFS Honors Program? What makes you a good fit?"
408,University of Texas at Austin,prospective-students-cite-many-reasons-for-pursuing,Prospective students cite many reasons for pursuing education in the,reviewed,Why Major,Intellectual Curiosity; Values,explain-motivation,Why Major,Intellectual Curiosity; Values,explain-motivation,Why you want to study the liberal arts at all.,250w,conditional,,"Prospective students cite many reasons for pursuing education in the liberal arts, and we would like to know why you want to do so. In 250 words or less, tell us why you want to study the liberal arts. Consider (but don’t feel obligated to answer all) questions like: Why should anyone study liberal arts at all? Why does the world need the liberal arts? What does your liberal arts degree get you? What will you do with your liberal arts education?"
409,University of Texas at Austin,share-an-essay-on-any-topic-of-your-choice,Share an essay on any topic of your choice,reviewed,Personal Statement,,describe,Personal Statement,,describe,An essay on any topic of your choice - genuinely open.,500-650w,required,,"Share an essay on any topic of your choice. It can be one you’ve already written, one that responds to a different prompt or one of your own design."
410,University of Texas at Austin,short-answer-academic-circumstances,Academic circumstances,reviewed,Challenge & Growth,Academic Context,describe,Challenge & Growth,Academic Context,describe,carried over from the hand review,300w,optional,,Please share background on events or special circumstances that you feel may have impacted your high school academic performance.
411,University of Texas at Austin,short-answer-first-choice-major,First-choice major,reviewed,Why Major,,explain-motivation,Why Major,,explain-motivation,carried over from the hand review,300w,required,,Why are you interested in the major you indicated as your first-choice major?
412,University of Texas at Austin,short-answer-proudest-activity,Proudest activity,reviewed,Activities & Impact,,reflect,Activities & Impact,,reflect,carried over from the hand review,300w,required,,"Think of all the activities — both in and outside of school — that you have been involved with during high school. Which one are you most proud of and why? (Guidance for students: This can include an extracurricular activity, a club/organization, volunteer activity, work or a family responsibility.)"
413,University of Texas at Austin,teamwork-and-community-are-pillars-of-the-canfield,Teamwork and community are pillars of the Canfield Business Honors,reviewed,Activities & Impact,Community; Why Us; Collaboration; Contribution,discuss-future-contribution,Activities & Impact,Community; Collaboration; Contribution; Why Us,discuss-future-contribution,"A resume item reflecting teamwork and community, and how you would bring those values here.",300w,conditional,,"Teamwork and community are pillars of the Canfield Business Honors Program. When reviewing your resume, is there a particular aspect that reflects these values? Tell us more about this experience and how you will bring these values to Canfield Business Honors."
414,University of Texas at Austin,texas-csb-is-an-innovative-dual-degree-program-looking,Texas CSB is an innovative dual degree program looking for students who,reviewed,Why Major,Activities & Impact; Why Us; Goals & Future,state-a-future-goal,Why Major,Goals & Future; Activities & Impact; Why Us,state-a-future-goal,"Why this dual degree suits your career goals, and what you did in high school to prepare.",500w,conditional,,Texas CSB is an innovative dual degree program looking for students who are dedicated to both computer science and business. Why do you see this as a powerful combination of skills for your career goals? What have you done in high school to prepare you for computer science and business course work?
415,University of Texas at Austin,texas-honors-electrical-and-computer-engineering-and,Texas Honors Electrical and Computer Engineering and Business (Texas,reviewed,Why Major,Activities & Impact; Why Us; Goals & Future,state-a-future-goal,Why Major,Goals & Future; Activities & Impact; Why Us,state-a-future-goal,The same dual-degree question for engineering and business.,500w,conditional,,"Texas Honors Electrical and Computer Engineering and Business (Texas ECB) is a powerful dual degree program looking for students who are dedicated to both an electrical and computer engineering and business honors education. Why do you see this as a combination of skills for your career goals? What have you done in high school, in the classroom and outside, to prepare you for honors engineering and business course work?"
416,University of Texas at Austin,the-american-academy-of-arts-and-sciences-recently,The American Academy of Arts and Sciences recently reported that the,reviewed,Why Major,Intellectual Curiosity; Academic Context; Goals & Future,explain-motivation,Why Major,Intellectual Curiosity; Academic Context; Goals & Future,explain-motivation,How the humanities shaped your education and how you will apply them to other fields.,250w,conditional,,"The American Academy of Arts and Sciences recently reported that the number of bachelor’s degrees in the humanities has fallen by approximately 20% from 2012 to 2021, while the number of STEM and business degrees have sharply climbed. Nonetheless, in an age of standalone large language models (LLMs), interactive chatbots, and the escalating use of artificial intelligence in medicine, meteorology, coding, and business analytics, many STEM and business leaders are urging students to study the humanities to navigate an increasingly complex world. As an applicant to the interdisciplinary Plan II Honors program, you have chosen a major with a strong humanities component. Please explain how the humanities have shaped your educational experiences and how you anticipate applying the humanities to your study of other fields during your collegiate career and beyond."
417,University of Texas at Austin,the-cockrell-mccombs-bs-ms-honors-program-is-a-unique,The Cockrell-McCombs BS/MS Honors Program is a unique program that,reviewed,Why Major,Why Us; Goals & Future,state-a-future-goal,Why Major,Goals & Future; Why Us,state-a-future-goal,Why an engineering-and-business combination would help you reach your career goals.,500w,conditional,,The Cockrell-McCombs BS/MS Honors Program is a unique program that integrates engineering and business education from the start. The program provides the fundamentals of engineering and business to develop the leaders needed to ensure economic growth and national security. Why do you see this as a combination of skills that would help you achieve your career goals?
418,University of Texas at Austin,what-knowledge-skills-or-experiences-do-you-hope-to,"What knowledge, skills, or experiences do you hope to gain through",reviewed,Why Us,Why Major; Goals & Future,state-a-future-goal,Why Us,Goals & Future; Why Major,state-a-future-goal,What you hope to gain from a named honours programme and how it supports your goals.,500w,conditional,,"What knowledge, skills, or experiences do you hope to gain through participation in HDFS Honors, including its research opportunities? How do you hope it will support your academic and professional goals?"
419,University of Texas at Austin,why-are-you-interested-in-robotics,Why are you interested in robotics,reviewed,Why Major,Why Us; Goals & Future,explain-motivation,Why Major,Why Us; Goals & Future,explain-motivation,"Why robotics, how this programme helps, and the impact you hope to make.",500w,conditional,,Why are you interested in robotics? How will this undergraduate robotics program help you achieve your personal and/or career goals? What impact do you hope to make in the field of robotics?
420,University of Virginia,describe-a-health-care-related-experience-or-another,Describe a health care-related experience or another significant,reviewed,Why Major,Activities & Impact,explain-motivation,Why Major,Activities & Impact,explain-motivation,An experience that deepened your interest in studying nursing.,250w,conditional,,Describe a health care-related experience or another significant interaction that deepened your interest in studying Nursing.
421,University of Washington,we-want-to-know-why-you-are-excited-to-push-your,We want to know why you are excited to push your education outside the,reviewed,Other,Intellectual Curiosity; Values,reflect,Other,Intellectual Curiosity; Values,reflect,What you pay attention to and the unique lens you see the world through.,450w,conditional,,We want to know why you are excited to push your education outside the areas of academic learning with which you are most comfortable. To help us understand your enthusiasm for exploring different ways of thinking and learning tell us: What do you pay attention to? What is a unique lens through which you see the world? How does that connect to your current interests and future curiosities?
422,University of Wisconsin-Madison,each-student-is-unique,Each student is unique,reviewed,Background & Identity,Activities & Impact; Why Us; Contribution,discuss-future-contribution,Background & Identity,Contribution; Activities & Impact; Why Us,discuss-future-contribution,"The life experiences, talents and commitments you will bring to campus.",650w,conditional,,"Each student is unique. Please tell us about the particular life experiences, talents, commitments, and/or interests you will bring to our campus."
423,University of Wisconsin-Madison,tell-us-why-you-would-like-to-attend-the-university-of,Tell us why you would like to attend the University of Wisconsin–Madison,reviewed,Why Us,Why Major,connect-to-school,Why Us,Why Major,connect-to-school,"Why this university, and why the majors you selected.",650w,required,,"Tell us why you would like to attend the University of Wisconsin–Madison. In addition, please include why you are interested in studying the major(s) you have selected. If you selected undecided, please describe your areas of possible academic interest."
424,Vanderbilt University,short-answer-dare-to-grow,Dare to grow,reviewed,Background & Identity,Challenge & Growth; Contribution,demonstrate-growth,Background & Identity,Challenge & Growth; Contribution,demonstrate-growth,carried over from the hand review,300w,required,,"Vanderbilt University’s motto, Crescere aude, is Latin for “dare to grow.” In your response, reflect on how one or more aspects of your identity, culture, or background has played a role in your personal growth, and how it will contribute to our campus community as you dare to grow at Vanderbilt."
425,Vanderbilt University,vanderbilt-university-s-peabody-college-of-education,Vanderbilt University’s Peabody College of Education and Human,reviewed,Why Major,Activities & Impact; Why Us; Goals & Future,explain-motivation,Why Major,Activities & Impact; Why Us; Goals & Future,explain-motivation,"Prior experience with education you would bring here, and why you want to be an educator.",300w,conditional,,"Vanderbilt University’s Peabody College of Education and Human Development has a rich tradition of excellence in teacher education, preparing students to pursue a research-grounded, practice-intensive program leading to licensure. Students pursuing careers in education spend as much time in the classrooms and hallways of Nashville’s public schools as they do in seminar rooms on campus, observing and working in a variety of community and educational settings. What prior experience with and enthusiasm for the field of education will you bring to Vanderbilt? In your response, reflect on why you want to be an educator."
426,Vassar College,at-vassar-we-aim-to-foster-an-inclusive-community,"At Vassar, we aim to foster an inclusive community through our",reviewed,Background & Identity,Community; Collaboration,reflect,Background & Identity,Community; Collaboration,reflect,An important part of your identity and how it shaped your life and interactions.,300w,optional,,"At Vassar, we aim to foster an inclusive community through our philosophy of engaged pluralism. Engaged pluralism is rooted in “the conviction that collaborating across differences is necessary for social transformation and critical for the well-being of any community and its members.” In short, we believe it’s our differences that make us stronger. Tell us a little bit about an important part of your identity and how it has shaped your life and/or interactions with others."
427,Vassar College,vassar-is-a-diverse-community-that-inspires-positive,Vassar is a diverse community that inspires positive change through,reviewed,Community,Background & Identity,reflect,Community,Background & Identity,reflect,The community you come from and how it shaped your lived experience and identity.,300w,optional,,"Vassar is a diverse community that inspires positive change through open inquiry, deep dives into society’s most difficult challenges, and collaborative problem solving. We care deeply about one another, the communities that have forged us, and the community we build together on campus. Tell us about the community (or communities) you come from and how it has shaped your lived experiences and identity."
428,Vassar College,your-space-is-your-opportunity-to-allow-the-committee,Your Space is your opportunity to allow the Committee on Admission to,reviewed,Personal Statement,Creativity,describe,Personal Statement,Creativity,describe,"An open space for anything not addressed elsewhere, in any medium.",(note) The source states no word or character limit.,optional,,"Your Space is your opportunity to allow the Committee on Admission to learn something about you that you have not addressed in another section of the application. For example, in the past, applicants have shared poetry, short stories, cartoons, digital images of art projects, photography, and collages, and/or links to videos, and short films. It is your space, so if you choose to complete it, send something that is a reflection of you!"
429,Villanova University,supplement-ai-common-good,Technology and the common good,reviewed,Other,Values; Contribution,discuss-future-contribution,Other,Values; Contribution,discuss-future-contribution,carried over from the hand review,250w,optional,,"Villanova embraces Artificial Intelligence (AI) with a commitment to thoughtful, ethical use rooted in our Augustinian mission and values. How do you see technology helping you to lead, serve, and contribute to the common good?"
430,Villanova University,supplement-borrowed-strength,Someone borrowing your strength,reviewed,Other,Contribution; Values,explain-impact,Other,Contribution; Values,explain-impact,carried over from the hand review,250w,optional,,"At Villanova, we often say ""each of us strengthens all of us."" Please detail a time when someone has borrowed some of your strength in their time of need."
431,Villanova University,supplement-equity-justice,Advancing equity and justice,reviewed,Other,Activities & Impact; Contribution; Service,explain-impact,Other,Activities & Impact; Contribution; Service,explain-impact,carried over from the hand review,250w,optional,,"As Pope Leo XIV (Villanova Class of 1977) has said, “no one can single-handedly bear the weight of the challenges the world is facing, just as no one is so weak that they cannot play their part.” What have you done to play your part in advancing equity and justice in your community?"
432,Villanova University,supplement-life-lesson,A lesson in life,reviewed,Other,Values,reflect,Other,Values,reflect,carried over from the hand review,250w,optional,,What is a lesson in life that you have learned that you would want to share with others at Villanova?
433,Villanova University,supplement-new-home,Villanova as your new home,reviewed,Why Us,,connect-to-school,Why Us,,connect-to-school,carried over from the hand review,250w,optional,,"""Villanova"" means ""new home."" Why do you want to call Villanova your new home?"
434,Virginia Polytechnic Institute and State University,describe-a-goal-that-you-have-set-and-the-steps-you,Describe a goal that you have set and the steps you will take to,reviewed,Other,Goals & Future; Values,state-a-future-goal,Other,Goals & Future; Values,state-a-future-goal,"A goal you have set, your timeline, and who supports you in reaching it.",120w,required,,Describe a goal that you have set and the steps you will take to achieve it. What made you set this goal for yourself? What is your timeline to achieve this goal? Who do you seek encouragement or guidance from and how do they support your progress as you work on this goal?
435,Virginia Polytechnic Institute and State University,have-you-had-an-experience-when-you-or-someone-you-know,Have you had an experience when you or someone you know were not being,reviewed,Background & Identity,Community; Values,demonstrate-growth,Background & Identity,Community; Values,demonstrate-growth,"A time you or someone you know was excluded, and whether you changed anything.",120w,required,,"Have you had an experience when you or someone you know were not being included? Did you reach out to anyone for assistance, direction, or resources? Were you able to affect change and/or influence others? Did this experience change your perspective and if so, how?"
436,Virginia Polytechnic Institute and State University,share-a-time-when-you-were-most-proud-of-yourself,Share a time when you were most proud of yourself either as a role,reviewed,Activities & Impact,Leadership; Collaboration,explain-impact,Activities & Impact,Leadership; Collaboration,explain-impact,"A time you were proud as a role model or leader, and what others relied on you for.",120w,required,,Share a time when you were most proud of yourself either as a role model or when you displayed your leadership. What specific skills did you contribute to the experience? How did others rely on you for guidance? What did you learn about yourself during this time?
437,Virginia Polytechnic Institute and State University,virginia-tech-s-motto-is-ut-prosim-which-means-that-i,Virginia Tech’s motto is “Ut Prosim” which means ‘That I May Serve’,reviewed,Community,Activities & Impact; Service; Contribution,explain-impact,Community,Service; Contribution; Activities & Impact,explain-impact,"How you contribute to a community that matters to you, for how long, and what you learned.",120w,required,,Virginia Tech’s motto is “Ut Prosim” which means ‘That I May Serve’. Share how you contribute to a community that is important to you. How long have you been involved? What have you learned and how would you like to share that with others at Virginia Tech?
438,Wake Forest University,optional-written-books,Five intriguing books,reviewed,Reading List,,describe,Reading List,,describe,carried over from the hand review,(note) Limit: 150 characters per book title.,optional,,List five books you’ve read that have intrigued you.
439,Wake Forest University,optional-written-curiosity,Intellectual curiosity,reviewed,Why Major,Intellectual Curiosity,describe,Why Major,Intellectual Curiosity,describe,carried over from the hand review,150w,optional,,"Tell us what piques your intellectual curiosity or has helped you understand the world’s complexity. This can include a work you’ve read, a project you’ve completed for a class, and even co-curricular activities in which you have been involved."
440,Wake Forest University,optional-written-maya-angelou,A Maya Angelou quote,reviewed,Other,Values; Contribution,reflect,Other,Values; Contribution,reflect,carried over from the hand review,300w,optional,,"Dr. Maya Angelou, renowned author, poet, civil-rights activist, and former Wake Forest University Reynolds Professor of American Studies, inspired others to celebrate their identities and to honor each person’s dignity. Choose one of Dr. Angelou’s powerful quotes. How does this quote relate to your lived experience or reflect how you plan to contribute to the Wake Forest community?"
441,Wake Forest University,optional-written-top-ten,Top Ten List,reviewed,Short Answer,,describe,Short Answer,,describe,carried over from the hand review,(note) Limit: 100 characters per line.,optional,,Give us your Top Ten List. (The choice of theme is yours.)
442,Wake Forest University,required-why-wake,Why Wake?,reviewed,Why Us,,connect-to-school,Why Us,,connect-to-school,carried over from the hand review,100w,required,,Why have you decided to apply to Wake Forest? Share with us anything that has made you interested in our institution.
443,Washington and Lee University,johnson-art,Johnson Scholarship: a work of art,reviewed,Other,Intellectual Curiosity; Values,demonstrate-growth,Other,Intellectual Curiosity; Values,demonstrate-growth,carried over from the hand review,800w,conditional,,"""To promote literature in this rising empire and to encourage the arts, have ever been amongst the warmest wishes of my heart” (George Washington, 1798, first president of the United States and first major benefactor of Washington and Lee University). Describe a work of art that has influenced you, and discuss the impact it has had on you."
444,Washington and Lee University,johnson-authentic-representation,Johnson Scholarship: authentic representation,reviewed,Other,Background & Identity; Challenge & Growth,demonstrate-growth,Other,Background & Identity; Challenge & Growth,demonstrate-growth,carried over from the hand review,800w,conditional,,We live in a world in which much of our self-representation is curated online via short-lived social media ‘stories’ and disappearing photos. What photo or other representation of yourself is authentically you? What does it say about your growth into the person you are today and the person you want to become? Please use only the words in your essay to address this question. Do not include photographs or other materials in your answer.
