ID,School,External ref,Prompt title,Proposed primary,Secondary 1,Secondary 2,Secondary 3,Your primary override,Your secondary 1,Your secondary 2,Your secondary 3,Prompt function,Classifier confidence,Full written prompt,Word limit,Requirement,Scope
267,University of Minnesota Twin Cities,the-u-of-m-has-8-freshman-admitting-colleges-and-more,The U of M has 8 freshman-admitting colleges and more than 150 majors,Why Major,Short Answer,,,,,,,,40,"The U of M has 8 freshman-admitting colleges and more than 150 majors. Please share a few words about what you’d like to study in college, career paths that interest you, or your favorite subjects in school. Please limit your response to 1,000 characters or approximately 150 words. (Your answer will help us get to know you better; it will not be reviewed for writing skills.)",1000c,optional,
268,University of Minnesota Twin Cities,why-have-you-chosen-to-pursue-a-nursing-career,Why have you chosen to pursue a nursing career,,,,,,,,,,0,Why have you chosen to pursue a nursing career? Explain how your experiences shaped your decision.,1500c,conditional,Nursing
269,University of Minnesota Twin Cities,how-have-your-studies-prepared-you-for-a-career-in,How have your studies prepared you for a career in nursing,,,,,,,,,,0,How have your studies prepared you for a career in nursing?,1500c,conditional,Nursing
270,University of Minnesota Twin Cities,provide-a-brief-reflection-about-why-you-feel-the,Provide a brief reflection about why you feel the University of,,,,,,,,,,0,Provide a brief reflection about why you feel the University of Minnesota School of Nursing will be the best fit with your degree and career plans.,1500c,conditional,Nursing
271,University of Minnesota Twin Cities,how-would-you-describe-your-current-dance-practice,How would you describe your current dance practice,,,,,,,,,,0,How would you describe your current dance practice?,Limit: 1 page.,conditional,Dance BA/BFA
272,University of Minnesota Twin Cities,choose-a-video-of-a-dance-performance-that-moves-you,Choose a video of a dance performance that moves you and describe it in,Why Major,,,,,,,,,50,Choose a video of a dance performance that moves you and describe it in detail. Why did you choose this piece?,Limit: 1 page.,conditional,Dance BA/BFA
273,University of North Carolina at Chapel Hill,the-optional-space-below-allows-you-to-share-why-you-re,The optional space below allows you to share why you’re interested in,,,,,,,,,,0,The optional space below allows you to share why you’re interested in the assured enrollment program(s) you’ve selected and how they align with your educational goals.,500w,optional,
274,Vanderbilt University,vanderbilt-university-s-peabody-college-of-education,Vanderbilt University’s Peabody College of Education and Human,Community,Background & Identity,Personal Statement,Intellectual Curiosity,,,,,,40,"Vanderbilt University’s Peabody College of Education and Human Development has a rich tradition of excellence in teacher education, preparing students to pursue a research-grounded, practice-intensive program leading to licensure. Students pursuing careers in education spend as much time in the classrooms and hallways of Nashville’s public schools as they do in seminar rooms on campus, observing and working in a variety of community and educational settings. What prior experience with and enthusiasm for the field of education will you bring to Vanderbilt? In your response, reflect on why you want to be an educator.",300w,conditional,"Elementary Education, Secondary Education, or Special Education"
275,Vassar College,at-vassar-we-aim-to-foster-an-inclusive-community,"At Vassar, we aim to foster an inclusive community through our",Community,Background & Identity,Personal Statement,Collaboration,,,,,,57,"At Vassar, we aim to foster an inclusive community through our philosophy of engaged pluralism. Engaged pluralism is rooted in “the conviction that collaborating across differences is necessary for social transformation and critical for the well-being of any community and its members.” In short, we believe it’s our differences that make us stronger. Tell us a little bit about an important part of your identity and how it has shaped your life and/or interactions with others.",300w,optional,vassar-essay
276,Vassar College,vassar-is-a-diverse-community-that-inspires-positive,Vassar is a diverse community that inspires positive change through,Community,Background & Identity,Personal Statement,Creativity,,,,,,57,"Vassar is a diverse community that inspires positive change through open inquiry, deep dives into society’s most difficult challenges, and collaborative problem solving. We care deeply about one another, the communities that have forged us, and the community we build together on campus. Tell us about the community (or communities) you come from and how it has shaped your lived experiences and identity.",300w,optional,vassar-essay
277,Vassar College,if-you-wish-to-provide-details-of-circumstances-not,If you wish to provide details of circumstances not reflected in the,,,,,,,,,,0,"If you wish to provide details of circumstances not reflected in the application, please upload a file here. Similarly, if you wish to upload your resume, include it here.",The source states no word or character limit.,optional,
278,Vassar College,your-space-is-your-opportunity-to-allow-the-committee,Your Space is your opportunity to allow the Committee on Admission to,,,,,,,,,,0,"Your Space is your opportunity to allow the Committee on Admission to learn something about you that you have not addressed in another section of the application. For example, in the past, applicants have shared poetry, short stories, cartoons, digital images of art projects, photography, and collages, and/or links to videos, and short films. It is your space, so if you choose to complete it, send something that is a reflection of you!",The source states no word or character limit.,optional,
279,Virginia Polytechnic Institute and State University,virginia-tech-s-motto-is-ut-prosim-which-means-that-i,Virginia Tech’s motto is “Ut Prosim” which means ‘That I May Serve’,Community,Contribution,Service,,,,,,,50,Virginia Tech’s motto is “Ut Prosim” which means ‘That I May Serve’. Share how you contribute to a community that is important to you. How long have you been involved? What have you learned and how would you like to share that with others at Virginia Tech?,120w,required,
280,Virginia Polytechnic Institute and State University,have-you-had-an-experience-when-you-or-someone-you-know,Have you had an experience when you or someone you know were not being,,,,,,,,,,0,"Have you had an experience when you or someone you know were not being included? Did you reach out to anyone for assistance, direction, or resources? Were you able to affect change and/or influence others? Did this experience change your perspective and if so, how?",120w,required,
281,Virginia Polytechnic Institute and State University,share-a-time-when-you-were-most-proud-of-yourself,Share a time when you were most proud of yourself either as a role,,Contribution,Leadership,,,,,,,0,Share a time when you were most proud of yourself either as a role model or when you displayed your leadership. What specific skills did you contribute to the experience? How did others rely on you for guidance? What did you learn about yourself during this time?,120w,required,
282,Virginia Polytechnic Institute and State University,describe-a-goal-that-you-have-set-and-the-steps-you,Describe a goal that you have set and the steps you will take to,,,,,,,,,,0,Describe a goal that you have set and the steps you will take to achieve it. What made you set this goal for yourself? What is your timeline to achieve this goal? Who do you seek encouragement or guidance from and how do they support your progress as you work on this goal?,120w,required,
283,University of Virginia,describe-a-health-care-related-experience-or-another,Describe a health care-related experience or another significant,,,,,,,,,,0,Describe a health care-related experience or another significant interaction that deepened your interest in studying Nursing.,250w,conditional,Nursing
284,Washington University in St. Louis,please-tell-us-what-you-are-interested-in-studying-at,Please tell us what you are interested in studying at college and why,Why Us,,,,,,,,,50,Please tell us what you are interested in studying at college and why.,250w,required,
285,Washington University in St. Louis,the-beyond-boundaries-program-equips-students-with-a,The Beyond Boundaries Program equips students with a set of tools to,Community,Personal Statement,Collaboration,,,,,,,40,The Beyond Boundaries Program equips students with a set of tools to critically understand and make a difference in a complicated world where challenges require varied perspectives and skill sets. What is the big societal issue you would like to tackle? Who would you need on your team? How would the Beyond Boundaries Program support you to work with collaborative teams to address this issue?,250w,conditional,Beyond Boundaries Program
286,Washington University in St. Louis,students-in-the-joint-program-in-business-and-computer,Students in the Joint Program in Business and Computer Science will be,,,,,,,,,,0,"Students in the Joint Program in Business and Computer Science will be equipped with the fundamental knowledge and perspectives of computer science and business and will have unique opportunities to converge these two disciplines. This is a distinctive degree program that captures the intersection of business and computer science and the growing demand for people with this special and sought-after skill set. Graduates of the program will be able to pursue careers in technology, data analytics, finance, consulting, and business development, to name a few. Tell us how you would use this combined degree to explore the intersection of these two disciplines.",250w,conditional,Joint Degree Program in Business and Computer Science
287,Washington University in St. Louis,chancellor-danforth-and-mrs,Chancellor Danforth and Mrs,Community,Personal Statement,Service,Leadership,,,,,,57,"Chancellor Danforth and Mrs. Danforth deeply cared about building trust within the community and being of service to others. They embodied a spirit of servant leadership. Like the Danforths, Danforth Scholars are leaders seeking to build community through fostering growth and empowerment rather than focusing on personal authority. Reflecting on the leadership tenure of the Danforths and the pillars of the Danforth Scholars Program, how have you utilized your leadership skills to foster growth and empowerment within your community? Please provide 1-2 examples in detail.",250w,conditional,Danforth Scholars Program
288,Washington University in St. Louis,dr,Dr,Community,,,,,,,,,50,"Dr. John B. Ervin was a nationally renowned Black educator and the first African American Dean at Washington University in St. Louis. In the spirit of Dr. Ervin, Ervin Scholars are champions for positive change in their communities. Reflecting on the legacy of Dr. Ervin, how have you demonstrated your dedication to social justice and positive community impact in marginalized communities? Provide 1-2 examples in detail.",250w,conditional,John B. Ervin Scholars Program
289,Washington University in St. Louis,annika-lynn-rodriguez-led-a-life-committed-in-service,Annika Lynn Rodriguez led a life committed in service to others,Community,Personal Statement,Service,Leadership,,,,,,57,"Annika Lynn Rodriguez led a life committed in service to others. She demonstrated her commitment through her work as a member of Alpha Phi Omega, a National Service Fraternity during her time as a WashU student and later in the Peace Corps as an alum until her untimely death. In remembering Annika’s legacy, a friend said, “Annika gave herself wholeheartedly to every person who entered her life.” Share a story that exemplifies what motivates you to engage in service to community and provide two examples that demonstrate your ongoing commitment to service.",250w,conditional,Annika Rodriguez Scholars Program
290,Washington University in St. Louis,you-will-then-gain-access-to-the-washu-pathway-where,"You will then gain access to the WashU Pathway, where you will be asked",,Creativity,,,,,,,,0,"You will then gain access to the WashU Pathway, where you will be asked to upload two samples of your creative writing, preferably in different genres (for example one short story and a group of poems, or a short play and a piece of creative nonfiction). Samples should only represent the genres of creative writing—fiction, poetry, creative nonfiction, playwriting, and screenwriting. Please do not send academic papers or instructor notes, comments, or grades.",Limit: 2 creative-writing samples.,conditional,Howard Nemerov Writing Scholars Program
291,University of Washington,we-want-to-know-why-you-are-excited-to-push-your,We want to know why you are excited to push your education outside the,,,,,,,,,,0,We want to know why you are excited to push your education outside the areas of academic learning with which you are most comfortable. To help us understand your enthusiasm for exploring different ways of thinking and learning tell us: What do you pay attention to? What is a unique lens through which you see the world? How does that connect to your current interests and future curiosities?,450w,conditional,Interdisciplinary Honors
292,William & Mary,are-there-any-particular-communities-that-are-important,"Are there any particular communities that are important to you, and how",Why Us,Community,,,,,,,,40,"Are there any particular communities that are important to you, and how do you see yourself being a part of our community?",300w,optional,
293,William & Mary,share-more-about-a-personal-academic-interest-or-career,Share more about a personal academic interest or career goal,Why Major,Goals & Future,,,,,,,,67,Share more about a personal academic interest or career goal.,300w,optional,
294,William & Mary,how-has-your-family-culture-and-or-background-shaped,"How has your family, culture and/or background shaped your lived",Background & Identity,Personal Statement,,,,,,,,67,"How has your family, culture and/or background shaped your lived experience?",300w,optional,
295,William & Mary,what-led-to-your-interest-in-william-and-mary,What led to your interest in William & Mary,,Leadership,,,,,,,,0,What led to your interest in William & Mary?,300w,optional,
296,William & Mary,tell-us-about-a-challenge-or-adversity-you-ve,Tell us about a challenge or adversity you’ve experienced and how that,Challenge & Growth,Personal Statement,,,,,,,,33,Tell us about a challenge or adversity you’ve experienced and how that has impacted you as an individual.,300w,optional,
297,William & Mary,if-we-visited-your-town-what-would-you-want-to-show-us,"If we visited your town, what would you want to show us",,,,,,,,,,0,"If we visited your town, what would you want to show us?",300w,optional,
298,Williams College,williams-does-not-require-a-writing-supplement,Williams does not require a writing supplement,,Course,,,,,,,,0,"Williams does not require a writing supplement. However, some students feel they do their best writing in an academic essay rather than a narrative piece. If you are interested in submitting an example of your academic writing, please submit a paper on any topic of your choice. It need not be graded, and may be an in-class handwritten assignment. We ask that you include a description of the assignment or prompt. Please do not submit lab reports.",The source states no word or character limit.,optional,
299,Williams College,if-you-ve-pursued-significant-scientific-or,If you’ve pursued significant scientific or mathematical research and,,Intellectual Curiosity,,,,,,,,0,"If you’ve pursued significant scientific or mathematical research and are considering a research or academic career, we welcome a brief description of your work.",Length: brief description; no numeric limit stated.,optional,
300,Williams College,writing-submit-one-or-more-samples-of-representative,Writing: Submit one or more samples of representative original work,,,,,,,,,,0,Writing: Submit one or more samples of representative original work. Entire selection should not exceed 10 pages.,Limit: 10 pages.,optional,
301,Williams College,please-include-a-short-description-for-each-piece-in,Please include a short description for each piece in your portfolio,,Creativity,,,,,,,,0,Please include a short description for each piece in your portfolio when you upload into SlideRoom.,Length: short description; no numeric limit stated.,conditional,Studio Art Portfolio
302,University of Wisconsin-Madison,tell-us-why-you-would-like-to-attend-the-university-of,Tell us why you would like to attend the University of Wisconsin–Madison,Why Major,Personal Statement,,,,,,,,40,"Tell us why you would like to attend the University of Wisconsin–Madison. In addition, please include why you are interested in studying the major(s) you have selected. If you selected undecided, please describe your areas of possible academic interest.",650w,required,
303,University of Wisconsin-Madison,each-student-is-unique,Each student is unique,Why Us,Personal Statement,Contribution,,,,,,,40,"Each student is unique. Please tell us about the particular life experiences, talents, commitments, and/or interests you will bring to our campus.",650w,conditional,
